file,old_tag,new_tags
obsidian-general-to-import/256283035017087543.md,monogram-embroidery,embroidery
obsidian-general-to-import/256283035017087543.md,monogrammed-linens,linen|textile-history
obsidian-general-to-import/256283035017087543.md,illuminated-letters,typography-lettering
obsidian-general-to-import/256283035017087543.md,linens-and-lace,linen|lace-needlework
obsidian-general-to-import/256283035017087543.md,antique-linens,linen|textile-history
obsidian-general-to-import/256283035017087543.md,embroidery-monogram,embroidery
obsidian-general-to-import/256283035017087543.md,embroidered-monogram,embroidery
obsidian-general-to-import/256283035017087543.md,자수-디자인,embroidery|korean
obsidian-general-to-import/256283035017087547.md,amazing-embroidery,embroidery
obsidian-general-to-import/256283035017087547.md,embroidery-and-cross-stitch,embroidery|cross-stitch
obsidian-general-to-import/256283035017087547.md,embroidery-stitching,embroidery
obsidian-general-to-import/256283035017087547.md,자수-디자인,embroidery|korean
obsidian-general-to-import/256283035017087547.md,embroidery-cross-stitch,embroidery|cross-stitch
obsidian-general-to-import/256283035017087547.md,embroidery-inspiration,embroidery
obsidian-general-to-import/256283035017087550.md,quilt-stitches,quilting
obsidian-general-to-import/256283035017087550.md,embroidery-store,embroidery
obsidian-general-to-import/256283035017087550.md,drawn-thread,lace-needlework|embroidery
obsidian-general-to-import/256283035017087550.md,hardanger-embroidery,lace-needlework|hardanger|embroidery
obsidian-general-to-import/256283035017087550.md,brazilian-embroidery,embroidery
obsidian-general-to-import/256283035017087550.md,needlework-embroidery,embroidery|lace-needlework
obsidian-general-to-import/256283035017087550.md,crazy-quilt,quilting|improv-quilt
obsidian-general-to-import/256283035017087550.md,crewel-embroidery,embroidery
obsidian-general-to-import/256283035017087550.md,자수-디자인,embroidery|korean
obsidian-general-to-import/256283035017087552.md,knot-embroidery,embroidery
obsidian-general-to-import/256283035017087552.md,embroidery-and-cross-stitch,embroidery|cross-stitch
obsidian-general-to-import/256283035017087552.md,stitching-embroidery,embroidery
obsidian-general-to-import/256283035017087552.md,embroidery-stitching,embroidery
obsidian-general-to-import/256283035017087552.md,silk-ribbon-embroidery,silk|embroidery
obsidian-general-to-import/256283035017087555.md,felt-sculpture,soft-toys-dolls|textile-art
obsidian-general-to-import/256283035017087555.md,felted-jewelry,soft-toys-dolls
obsidian-general-to-import/256283035017087555.md,twig-art,craft
obsidian-general-to-import/256283035017087555.md,felting-art,soft-toys-dolls|textile-art
obsidian-general-to-import/256283035017087555.md,felted-art,soft-toys-dolls|textile-art
obsidian-general-to-import/256283035017087555.md,felt-jewelry,soft-toys-dolls
obsidian-general-to-import/256283035017087556.md,quilting-by-hand,quilting
obsidian-general-to-import/256283035017087556.md,big-stitch-quilting,quilting
obsidian-general-to-import/256283035017087556.md,boro-sashiko,visible-mending|boro-sashiko|japanese
obsidian-general-to-import/256283035017087556.md,contemporary-textiles,textile-art
obsidian-general-to-import/256283035017087556.md,quilt-stitching,quilting
obsidian-general-to-import/256283035017087556.md,quilting-techniques,quilting
obsidian-general-to-import/256283035017087556.md,quilting-tips,quilting
obsidian-general-to-import/256283035017087556.md,quilting-tutorials,quilting
obsidian-general-to-import/256283035017087556.md,patchwork-quilting,quilting
obsidian-general-to-import/256283035017087570.md,marisa-ramirez,artists-makers|marisa-ramirez
obsidian-general-to-import/256283035017087570.md,textiles-techniques,textile-art
obsidian-general-to-import/256283035017087570.md,contemporary-embroidery,embroidery
obsidian-general-to-import/256283035017087570.md,textile-fiber-art,textile-art
obsidian-general-to-import/256283035017087570.md,fibre-art,textile-art
obsidian-general-to-import/256283035017087570.md,slow-stitching,embroidery|visible-mending
obsidian-general-to-import/256283035017087570.md,silk-organza,silk|clothing-costume
obsidian-general-to-import/256283035017087570.md,sewing-art,sewing|textile-art
obsidian-general-to-import/256283035017087571.md,vintage-ribbon,textile-history
obsidian-general-to-import/256283035017087571.md,linens-and-lace,linen|lace-needlework
obsidian-general-to-import/256283035017087571.md,fairy-fashion,clothing-costume
obsidian-general-to-import/256283035017087571.md,silk-ribbon-embroidery,silk|embroidery
obsidian-general-to-import/256283035017087571.md,in-full-bloom,nature-botanical
obsidian-general-to-import/256283035017087571.md,fairy-dress,clothing-costume
obsidian-general-to-import/256283035017087628.md,embroidered-birds,embroidery
obsidian-general-to-import/256283035017087628.md,needle-painting,embroidery|painting
obsidian-general-to-import/256283035017087628.md,needlepoint-stitches,lace-needlework|needlepoint|embroidery
obsidian-general-to-import/256283035017087628.md,embroidered-bird,embroidery
obsidian-general-to-import/256283035017087628.md,bird-embroidery,embroidery
obsidian-general-to-import/256283035017087628.md,brazilian-embroidery,embroidery
obsidian-general-to-import/256283035017087628.md,thread-painting,painting|embroidery
obsidian-general-to-import/256283035017087628.md,animal-embroidery,embroidery
obsidian-general-to-import/256283035017087628.md,crewel-embroidery,embroidery
obsidian-general-to-import/256283035017087642.md,textiles-embroidery,textile-art|embroidery
obsidian-general-to-import/256283035017087642.md,sashiko-boro,visible-mending|boro-sashiko|japanese
obsidian-general-to-import/256283035017087642.md,boro-sashiko,visible-mending|boro-sashiko|japanese
obsidian-general-to-import/256283035017087642.md,fibres-textiles,textile-art
obsidian-general-to-import/256283035017087642.md,contemporary-embroidery,embroidery
obsidian-general-to-import/256283035017087642.md,textile-fiber-art,textile-art
obsidian-general-to-import/256283035017087642.md,embroidery-stitching,embroidery
obsidian-general-to-import/256283035017087642.md,art-textiles,textile-art
obsidian-general-to-import/256283035017087642.md,textile-arts,textile-art
obsidian-general-to-import/256283035017087668.md,art-fibres-textiles,textile-art
obsidian-general-to-import/256283035017087668.md,embroidered-portrait,embroidery
obsidian-general-to-import/256283035017087668.md,contemporary-textiles,textile-art
obsidian-general-to-import/256283035017087668.md,textile-fiber-art,textile-art
obsidian-general-to-import/256283035017087668.md,embroidered-art,embroidery|textile-art
obsidian-general-to-import/256283035017087668.md,stitching-embroidery,embroidery
obsidian-general-to-import/256283035017087668.md,thread-art,typography-lettering|embroidery
obsidian-general-to-import/256283035017087668.md,embroidery-stitching,embroidery
obsidian-general-to-import/256283035017087675.md,art-fibres-textiles,textile-art
obsidian-general-to-import/256283035017087675.md,sashiko-boro,visible-mending|boro-sashiko|japanese
obsidian-general-to-import/256283035017087675.md,boro-sashiko,visible-mending|boro-sashiko|japanese
obsidian-general-to-import/256283035017087675.md,textile-fiber-art,textile-art
obsidian-general-to-import/256283035017087675.md,slow-stitching,embroidery|visible-mending
obsidian-general-to-import/256283035017087675.md,embroidery-inspiration,embroidery
obsidian-general-to-import/256283035017087675.md,art-textile,textile-art
obsidian-general-to-import/256283035017087677.md,fabric-textile-art,textile-art
obsidian-general-to-import/256283035017087677.md,spirit-cloth,textile-art
obsidian-general-to-import/256283035017087677.md,boro-stitching,visible-mending|boro-sashiko|japanese
obsidian-general-to-import/256283035017087677.md,sashiko-boro,visible-mending|boro-sashiko|japanese
obsidian-general-to-import/256283035017087677.md,boro-sashiko,visible-mending|boro-sashiko|japanese
obsidian-general-to-import/256283035017087677.md,fibres-textiles,textile-art
obsidian-general-to-import/256283035017087677.md,contemporary-embroidery,embroidery
obsidian-general-to-import/256283035017087677.md,textile-fiber-art,textile-art
obsidian-general-to-import/256283035017087677.md,fabric-collage,collage-mixed-media|textile-art
obsidian-general-to-import/256283035017087712.md,embroidery-stitches-flowers,embroidery
obsidian-general-to-import/256283035017087712.md,contemporary-embroidery,embroidery
obsidian-general-to-import/256283035017087712.md,embroidery-stitching,embroidery
obsidian-general-to-import/256283035017087712.md,fibre-art,textile-art
obsidian-general-to-import/256283035017087712.md,embroidery-inspiration,embroidery
obsidian-general-to-import/256283035017087712.md,sewing-embroidery,sewing|embroidery
obsidian-general-to-import/256283035017087712.md,crazy-quilts,quilting|improv-quilt
obsidian-general-to-import/256283035017087722.md,embroidery-couching,embroidery
obsidian-general-to-import/256283035017087722.md,textile-techniques,textile-art
obsidian-general-to-import/256283035017087722.md,textiles-techniques,textile-art
obsidian-general-to-import/256283035017087722.md,contemporary-embroidery,embroidery
obsidian-general-to-import/256283035017087722.md,textile-fiber-art,textile-art
obsidian-general-to-import/256283035017087722.md,embroidery-stitch,embroidery
obsidian-general-to-import/256283035017087722.md,stitch-lines,embroidery
obsidian-general-to-import/256283035017087722.md,fibre-art,textile-art
obsidian-general-to-import/256283035017087730.md,diane-savona,artists-makers|diane-savona
obsidian-general-to-import/256283035017087730.md,stitch-school,embroidery|art-education
obsidian-general-to-import/256283035017087730.md,freehand-embroidery,embroidery
obsidian-general-to-import/256283035017087730.md,mixed-media-textile-art,collage-mixed-media|textile-art
obsidian-general-to-import/256283035017087730.md,textile-collage,collage-mixed-media|textile-art
obsidian-general-to-import/256283035017087730.md,mixed-media-textiles,collage-mixed-media|textile-art
obsidian-general-to-import/256283035017087730.md,linen-cupboard,linen|interiors|textile-history
obsidian-general-to-import/256283035017087730.md,textiles-art,textile-art
obsidian-general-to-import/256283035017087742.md,grey-colour-palette,colour
obsidian-general-to-import/256283035017087742.md,stitch-journal,embroidery
obsidian-general-to-import/256283035017087742.md,embroidery-sashiko,embroidery|japanese|boro-sashiko
obsidian-general-to-import/256283035017087742.md,sashiko-embroidery,visible-mending|boro-sashiko|japanese|embroidery
obsidian-general-to-import/256283035017087742.md,stitching-embroidery,embroidery
obsidian-general-to-import/256283035017087742.md,embroidery-stitching,embroidery
obsidian-general-to-import/256283035017087742.md,embroidery-stitch,embroidery
obsidian-general-to-import/256283035017087742.md,japanese-embroidery,embroidery|japanese|japanese-textiles
obsidian-general-to-import/256283035017121025.md,cmyk-color-chart,colour|design
